numero_pokedex,nombre,img_url
1,bulbasaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
2,ivysaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
3,venusaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
4,charmander,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
5,charmeleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
6,charizard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
7,squirtle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
8,wartortle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
9,blastoise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
10,caterpie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,metapod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
12,butterfree,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,weedle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
14,kakuna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,beedrill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
16,pidgey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,pidgeotto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,pidgeot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
19,rattata,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
20,raticate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
21,spearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
22,fearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
23,ekans,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
24,arbok,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
25,pikachu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
26,raichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
27,sandshrew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
28,sandslash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
29,nidoran-f,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
30,nidorina,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
31,nidoqueen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
32,nidoran-m,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
33,nidorino,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
34,nidoking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
35,clefairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
36,clefable,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
37,vulpix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
38,ninetales,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
39,jigglypuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
40,wigglytuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
41,zubat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
42,golbat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
43,oddish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
44,gloom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
45,vileplume,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
46,paras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
47,parasect,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
48,venonat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
49,venomoth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
50,diglett,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
51,dugtrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
52,meowth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
53,persian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
54,psyduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
55,golduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
56,mankey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
57,primeape,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
58,growlithe,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
59,arcanine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
60,poliwag,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
61,poliwhirl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
62,poliwrath,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
63,abra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
64,kadabra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
65,alakazam,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
66,machop,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
67,machoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
68,machamp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
69,bellsprout,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
70,weepinbell,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
71,victreebel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
72,tentacool,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
73,tentacruel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
74,geodude,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
75,graveler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
76,golem,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
77,ponyta,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
78,rapidash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
79,slowpoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
80,slowbro,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
81,magnemite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
82,magneton,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
83,farfetchd,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
84,doduo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
85,dodrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
86,seel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
87,dewgong,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
88,grimer,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
89,muk,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
90,shellder,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
91,cloyster,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
92,gastly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
93,haunter,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
94,gengar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
95,onix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
96,drowzee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
97,hypno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
98,krabby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
99,kingler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
100,voltorb,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
101,electrode,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
102,exeggcute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
103,exeggutor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
104,cubone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
105,marowak,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
106,hitmonlee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
107,hitmonchan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
108,lickitung,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
109,koffing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
110,weezing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
111,rhyhorn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
112,rhydon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
